i,t,m,Aceite Vegetal,Aguacates,Ahí Verde,Ajo,Alimento Infantil,Apio,Arroz,Arvejas,Azúcar,Café Y Té,Carne De Res,Carnes De Puerco,Cebolla,Cereales Y Cremas,Cervezas,Chocolates,Cigarrillo Y Tabaco,Cocos (Pipas),Condimentos,"Culanto, Perejil, Cebollina",Embutidos,Enlatados Y Envasados,Frijoles,Galletas / Pasteles Y Dulces,Gelatinas,Guineos (Bananos),Harina De Trigo,Helados,Huevos De Gallina,Lecha Evaporada,Leche En Polvo,Leche Líquida,Lechuga,Lentejas,Licores Varios,Limones,Mangos,Manteca,Mantequilla,Manzanas,Margarina,Mariscos,Mayonesa,Maíz De Grano,Maíz De Mazorca,Melones,Miel,Naranjas,Otoes,Otros,Pan De Sal Y Pan De Dulce,"Panela, Raspadura, Etc",Papas,Papayas,Pastas Alimenticias,Pastas De Tomate,Pastillas Y Confites,Pepino,Pescados,Picaritas,Piñas,Plátanos Verdes,Pollo O Gallina,Porotos,Preparación De Maíz,Primer otro,Queso (Blanco Y Amarillo),Raspados Y Duros,Remolacha,Repollo,Sal,Sandias,Sardina Y Atún,Segundo otro,"Sodas, Refrescos Y Jugos",Sopa Enlatada,Tercer otro,Tomate,Viscera De Res,Visceras De Pollo O Gallina,Yuca,Zanahoria,Zapallo / Chayote,Ñame
20038786,2003,Panamá,3.49000001,,0.5,0.5,,,7.199999809,,1.350000024,1.49000001,9.699999809,,1.5,2.99000001,,0.9800000191,,,0.25,,1.549999952,,,,,,,,2.140000105,1.549999952,,1.370000005,,1.600000024,,0.5,,,,1,0.7900000215,,1.49000001,,,,,1,,,9,,0.6499999762,,1.700000048,0.5899999738,,,1.5,,,1,7.650000095,0.9499999881,,,3.5,,0.2099999934,,0.5,,0.6800000072,,1,0.9800000191,,,3.5,,0.3000000119,,,
20038787,2003,Panamá,2.700000048,,1.5,0.4499999881,,0.25,9,,0.5799999833,0.25,5.699999809,,1.200000048,,3.599999905,,,,0.200000003,,,,,,,,,,1.100000024,1.75,,3.75,0.6000000238,1.120000005,,,,,0.25,,,,,,,,,0.25,0.6000000238,,,,1.5,,,0.6999999881,,0.5,,,,2.5,10.5,0.8000000119,1.200000048,,1.350000024,,,,0.25,,,,1,1.5,,0.5,,,,0.5,1,
20038789,2003,Panamá,3.349999905,,1.399999976,0.5,,0.5,7.199999809,,1.570000052,,12,6,2.099999905,,6.599999905,,10.5,,1.5,1.100000024,9.449999809,,,2.200000048,,1,,3.25,2.400000095,2.400000095,,2.099999905,,0.4499999881,,,,,,2.5,,,,,,,,4,0.400000006,,7.840000153,2.400000095,1.399999976,,0.5500000119,2.319999933,,,12,,5,4,20,0.8899999857,0.5,,5,,,,0.200000003,,2.5,,,,,2.799999952,,,0.200000003,,,0.6000000238
20038790,2003,Panamá,2.150000095,,0.5,,,,9,0.4499999881,1.590000033,0.150000006,5.699999809,2.799999952,1,,,0.6999999881,,,1.179999948,,0.200000003,1.5,,,,0.400000006,0.6200000048,,1.200000048,1.75,11.5,0.5,,1.299999952,,,,,,,,,1.49000001,,0.25,,,0.5,,,5,,,,1.590000033,,0.4499999881,0.6000000238,,1.149999976,,1,10,0.8899999857,,,0.200000003,,,0.4499999881,0.25,,1.5,,3.75,,,0.8000000119,,,,0.6000000238,,0.6000000238
20038791,2003,Panamá,2.75,,0.6000000238,0.7200000286,,1,1.799999952,,1.299999952,,12,9,1.100000024,5,,,,,,0.349999994,7.650000095,,,,,,,2.75,1.730000019,3.480000019,6,5,1.100000024,0.349999994,,0.5,,,0.6299999952,1.200000048,,,,,1,,,1,,,5,,1.5,1.25,2.599999905,3,,0.400000006,2.5,,,1,8,0.8500000238,2.25,,3.380000114,,1.299999952,,0.25,,4.199999809,,3.25,,,0.6999999881,,,0.3000000119,1.049999952,,0.6999999881
20038792,2003,Panamá,0.8500000238,,0.25,,,0.25,3.599999905,,1.399999976,2.650000095,,3.650000095,0.3000000119,,,1.799999952,,,0.1000000015,,2,,,1,,0.3000000119,0.8999999762,,1.320000052,0.349999994,,0.6999999881,,0.4499999881,,,,,,,1.5,,0.9599999785,,,,,,,,6,,0.75,,,,,0.5,,,,0.4499999881,4.900000095,,,,3,0.6000000238,0.200000003,,0.1000000015,,0.6000000238,,2.450000048,0.4799999893,,0.5,,,,1.100000024,0.150000006,0.6000000238
20038793,2003,Panamá,1.700000048,,0.3000000119,0.8000000119,,,3.799999952,,1.5,,7.599999905,5,2,3.799999952,,,,,,,6.289999962,,0.8000000119,,,0.400000006,0.349999994,,2.299999952,1.399999976,2.5,3,,0.8000000119,,,,,1.450000048,,,7,1.889999986,,,,,,,,1.350000024,,4,,,0.349999994,,,7,,,,7.5,0.8000000119,,1.100000024,8.600000381,,0.75,,,,1.200000048,1.200000048,6,0.8000000119,,1.5,2,,,1.600000024,,
20038794,2003,Panamá,,,1.25,0.25,,,1.799999952,,1.600000024,2.25,6,8.100000381,,3.779999971,,,,,,,2.5,2.220000029,,,,1.5,,2.599999905,2.200000048,0.6000000238,,4.5,,,,,,,,,,,0.75,,,,,,,,5.480000019,,9,,,4.599999905,,,,,,,10.19999981,,2.549999952,,5.199999809,,,,0.25,,1.899999976,,2,,,1.25,3,1.200000048,,,,
20038796,2003,Panamá,,,0.25,,,,3.599999905,,0.4799999893,,7.449999809,,0.4499999881,3.130000114,,,,,,,6.239999771,0.6000000238,,2,,0.3000000119,,1.75,2.200000048,1.980000019,,1.450000048,0.5,,,,,,,1.200000048,,,,,,,,,,,7.699999809,,1,1,2,,,0.25,,,,,5.400000095,,,,3.099999905,,0.25,0.5,,,1.580000043,,,0.6899999976,,0.6000000238,,,,1,0.25,
20038797,2003,Panamá,,,,,,,,,,,,,,,,,,,,,,,,,,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,1.580000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20038798,2003,Panamá,2.900000095,,0.6999999881,,,,7,0.75,1.649999976,2.25,38,7.699999809,0.8000000119,3.900000095,,,,,,,3.640000105,,,1.049999952,,,,,2.180000067,2.519999981,,1.5,0.5,0.6000000238,,,,,,,,,,,,,,,,,8.579999924,,1,,1.100000024,2.099999905,,1,,,,,10.19999981,0.8999999762,,,2.599999905,,0.6999999881,0.5,0.5,,,,2,1.049999952,,1.200000048,,,,0.349999994,,
20038799,2003,Panamá,1.789999962,,,0.400000006,,0.6000000238,7.5,,2.730000019,2.970000029,9.449999809,7,1.799999952,7.739999771,,,22.5,,0.5,,6.360000134,1.799999952,0.5899999738,1.639999986,1.429999948,1,1.649999976,0.75,2.299999952,3.200000048,2.339999914,5.550000191,1.200000048,0.5400000215,,,,,,2,0.5899999738,,2.980000019,0.400000006,,1.200000048,,1,,,5.449999809,,1.25,,1.580000043,3.940000057,,,2.099999905,,,2,7.800000191,0.8999999762,1.100000024,,2.579999924,,0.3000000119,1,0.4799999893,,4.099999905,,4.5,1,,0.6000000238,,,0.8999999762,3.599999905,,
20038800,2003,Panamá,2.349999905,,0.5,0.5,,0.6000000238,6,0.6999999881,1,0.8899999857,,,1.200000048,,3,,,,0.25,0.150000006,3,,1.600000024,,,0.8000000119,0.8000000119,2.25,3,,4.900000095,1.5,,2.799999952,,,,,,1.5,1,,,,0.400000006,,,,,,12,0.349999994,1,,2.460000038,1.480000019,,0.6000000238,,,,0.75,9,3.200000048,0.6000000238,,3.150000095,,,,0.6000000238,,1.220000029,,2.25,0.75,,0.5,,,1.799999952,1,1.200000048,1.399999976
20038801,2003,Herrera,0.6499999762,,,0.25,,0.200000003,11.25,,1,3,4.949999809,6.599999905,1,0.400000006,3.200000048,,2.5,,0.5,,,,2.400000095,0.400000006,,0.8000000119,,0.5,1,0.9900000095,2.349999905,,,1.799999952,4.5,,,,,0.75,0.200000003,,,,0.3000000119,,,,,,0.75,,,,1,1.360000014,0.150000006,,3.549999952,0.3000000119,,,2.200000048,2.400000095,,,,0.6000000238,,,1.25,,,,0.5,0.7799999714,,1.799999952,,,,,,
20038802,2003,Herrera,1.049999952,,0.8000000119,0.8999999762,,,7.5,,1,1.799999952,11.80000019,10.14999962,1.200000048,,19.20000076,1,2,,0.6000000238,,3.299999952,0.8000000119,3,1,,0.3000000119,,,3,1.320000052,0.5500000119,2.099999905,,,4.5,,,,,2.5,,,0.8500000238,,,,,,,,1.5,,1,,2.75,8.050000191,0.25,,1.200000048,3.299999952,,0.400000006,10.5,4.199999809,,,1,,,,0.25,,4.25,,5.25,0.6999999881,,2.400000095,,,,1,,
20038803,2003,Herrera,2.400000095,,0.25,0.3000000119,,0.400000006,,,1,2.25,5,6.25,1,0.400000006,2,,,,,,1.399999976,,1,,,,,,,2.589999914,,,,2.400000095,,,,,,2.5,,,,,,,,,,,0.6000000238,,,,2,1.980000019,,,2.799999952,,,,6.199999809,2.099999905,,,,,,,0.75,,3.900000095,,1.5,,,1.600000024,,,,,,
20038805,2003,Herrera,2.25,,,0.8000000119,,,,,1.25,4.5,3.900000095,4.650000095,0.5,0.400000006,4.800000191,,,,0.6000000238,,1,,1.5,0.3000000119,,0.400000006,0.25,0.75,0.8000000119,1.320000052,2.349999905,,,2.400000095,,,,,0.200000003,1,,,,,,,,,,,1.200000048,,,,0.5,1.690000057,0.150000006,,,0.3000000119,,0.3000000119,4.099999905,1.600000024,,,0.8000000119,,,0.25,1,,5.199999809,,0.8000000119,1.399999976,,0.6000000238,,,,,,0.75
20038806,2003,Herrera,0.8999999762,,,0.200000003,,,3.599999905,,0.25,2.25,,,0.25,,,,,,0.1000000015,,1.200000048,,0.6000000238,0.3000000119,,0.400000006,0.25,,1,,,,,0.6000000238,,,,,,,,,,,,,,,,,0.6000000238,,,,,,,0.400000006,,,,,0.8500000238,0.6999999881,,,,,,,0.25,,1.299999952,,,1.049999952,,0.400000006,,,,,,
20038807,2003,Herrera,0.75,,0.5,0.5,,,,,0.5,2.25,6.300000191,3.75,1,0.3000000119,,,,,1.25,,1,,1.200000048,,,0.400000006,0.3000000119,,1.100000024,1.049999952,,1.220000029,,,,,,,,,,,,,,,,,,,2.5,,,,0.5,0.8399999738,,,2.599999905,0.8500000238,,0.5,5.5,0.8000000119,,,0.6000000238,0.5,,,0.5,,2.950000048,,1.450000048,,,,,,,,,
20038808,2003,Herrera,2.799999952,,0.6000000238,0.3000000119,,,6.800000191,,1.5,,9.449999809,8.75,0.400000006,1.75,,1,,,,,1,0.7799999714,,,,,0.6000000238,1.25,1.200000048,1.399999976,8,,,0.5500000119,,,,,,1.75,0.9800000191,4.5,1.600000024,,,,,,,,1,,0.8000000119,,0.5500000119,3.890000105,,,1.799999952,,,2.299999952,4.900000095,0.6999999881,0.75,,1.149999976,,,0.400000006,0.25,,,,3,,,2.400000095,,1,,0.25,,2
20038809,2003,Herrera,0.400000006,,,0.25,,,,,0.25,1.200000048,1.200000048,,0.25,,,,,,0.05000000075,,,,0.5,,,,,,0.400000006,,,,,1.200000048,,,,,,,,,,,,,,,,,,,,,,,,,0.6000000238,,,,1,,,,,,,,0.25,,,,,1.049999952,,,,,,,,
20038812,2003,Herrera,2.349999905,,,1.25,,0.6000000238,3,,1.5,2.25,,18,2.5,2.25,,,,,1.200000048,,2.25,,2,,2.549999952,,,1.600000024,,,5.25,3.5,,2.400000095,,,,,,2,0.5,,2.099999905,,1.25,,,,,,,,1.200000048,,2,2.059999943,,,,,,,,,2.5,,6,,,,0.5,,3,,6.25,,,,,,,,,2.400000095
20038813,2003,Herrera,2.099999905,,,0.5,,0.25,6.900000095,,0.6000000238,,3,,0.400000006,0.8000000119,,,,,0.75,,2.75,,0.5,0.5,,,1.049999952,,0.8000000119,0.349999994,5,,,0.400000006,,,,,,,0.5,,,,,,,,,,4.5,,,,,0.8999999762,,,,,,0.5,3,,,,4.5,,,,0.5,,0.6499999762,,3.75,,,0.5,,,0.6000000238,0.25,,
20038814,2003,Herrera,2.150000095,,0.400000006,0.8999999762,,0.25,,,2.400000095,3.450000048,6.800000191,6.25,0.5,,19.20000076,0.3000000119,,,0.6499999762,,1.399999976,,3,,,0.25,0.8999999762,,,0.6600000262,,,,,4.5,,,,,,,,1.149999976,,,,,,,,2.549999952,,0.8999999762,,1,3.309999943,0.3000000119,,2.099999905,0.5,,1.200000048,4.5,4,,,2.049999952,1,,,1.25,,1,,3.400000095,,,3,,,,,,1
20038815,2003,Herrera,2.200000048,,0.25,0.75,,0.5,13.5,,1.200000048,1.5,6.800000191,5,0.5,,2,0.3000000119,0.5,,0.200000003,,2,,1.200000048,0.400000006,,0.6000000238,1.049999952,1.25,1,1.279999971,,1.220000029,,2.400000095,,,,,,,,,,,,,,,,,2,,0.6000000238,,1.200000048,1.879999995,0.150000006,,4.199999809,1,,1,6,1.399999976,1.5,,1.200000048,0.400000006,,,0.8500000238,,,,1,1.399999976,,1.200000048,,,,1.5,,
20038816,2003,Herrera,3.269999981,,1.200000048,1,,1,4.5,,0.5,1.25,1.350000024,1.5,2,2.349999905,,,,,0.25,,,,0.5,,,,,,1,1.279999971,,2.799999952,2.400000095,0.8500000238,,,,,,,,1.5,,0.25,,,,1.5,,,2,,4.800000191,,,,,,7.5,,,,20,,2,,1.5,,0.6999999881,1,,,,,,,,3.599999905,,,0.75,3.599999905,0.3000000119,0.8999999762
20038817,2003,Herrera,0.200000003,,,,,,,,0.2700000107,0.8999999762,,,,0.200000003,0.8000000119,,,,,,0.8000000119,,,,,,,,0.400000006,0.6399999857,,6,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,0.400000006,,,,,,,,2.099999905,,,,,,,,,
20038818,2003,Herrera,1.99000001,,,0.5,,0.150000006,1.5,,0.25,1.049999952,6,2,1,2.779999971,,,,,0.1000000015,,0.400000006,,0.5,,,,,,0.200000003,5.25,,4.880000114,,0.6000000238,,,,,,1,,,,,,,,,,,1.5,,1.200000048,,0.5,0.6700000167,,,2.5,,,0.5,6,0.6000000238,0.25,,0.1000000015,,,,0.25,,,,,0.349999994,,0.6999999881,,,,,,0.5
20038819,2003,Herrera,3.25,,,0.5,,0.4499999881,9,,1.5,,21.60000038,6.25,1,1.889999986,,,,,0.5,,3.940000057,,1,3.559999943,1.299999952,,,2.900000095,,,2.349999905,2,1.350000024,0.6000000238,,,,,,0.5,,,,,,,,1,,,3,0.5,1,,1,,,,,,,0.5,,1.100000024,0.5,,2.390000105,,,1,,,,,4.400000095,0.349999994,,1.799999952,,,,1,0.3000000119,2
20038820,2003,Herrera,1.389999986,,,0.4900000095,,0.4499999881,1.799999952,,1.25,1.25,14.85000038,5.050000191,0.5,2.599999905,,,,,0.1000000015,,7.139999866,,0.5,1.100000024,,,0.3000000119,2.349999905,,1.600000024,2.349999905,4.199999809,0.4499999881,0.6000000238,,,,,,2.5,0.9900000095,,,,,,,,,,5.25,,1.200000048,,0.5,1.690000057,,0.150000006,,,,1,8.880000114,0.8000000119,1,,1.75,,,0.400000006,0.25,,1.230000019,,4.199999809,0.6999999881,,0.5,1.950000048,0.75,,0.6000000238,,
20038821,2003,Herrera,3.799999952,,0.400000006,0.5,,0.5,13.5,1,3.099999905,2.25,10.80000019,7.5,0.8000000119,0.75,,,,,1,0.3000000119,3.299999952,4.300000191,1,1.200000048,1.350000024,1.5,1.399999976,5.599999905,1.960000038,1.549999952,,6.199999809,0.6000000238,1.200000048,,,,,,2,1,3.400000095,1,,,,,0.5,,,3.599999905,,1.200000048,,1.649999976,3.880000114,,0.200000003,3.5,,,2,11.5,1.600000024,,,5.5,,,,0.5,,2.950000048,,4,4.099999905,,1,,,0.3000000119,,,
20038822,2003,Herrera,3.980000019,,0.6000000238,0.8999999762,2.5,1,3,0.349999994,3,,12,5,2,4.119999886,,1.549999952,,,1,0.5,9.899999619,0.6999999881,0.5,1.5,0.6499999762,2,,2.900000095,2.400000095,2.480000019,11.5,3.599999905,0.6000000238,0.3000000119,,,,,,,0.8000000119,,2.799999952,,1,,,,,,8,,0.8000000119,,1.100000024,3,,,5,1.5,,2,24,0.8000000119,3.5,,4.699999809,0.5,,1.100000024,,,,,14.46000004,0.6999999881,,,1.5,,,1.399999976,,
20038823,2003,Herrera,2,,,1.200000048,,0.4499999881,5.400000095,,1.860000014,1.799999952,9.699999809,6.400000095,0.6000000238,2.640000105,,1.75,,,,,5.489999771,,0.5,3,1.700000048,1.75,0.6499999762,0.8000000119,1.200000048,2.799999952,2.650000095,1.5,0.8000000119,0.6000000238,,,,,,1,,,,,,,,,,,5.199999809,,1,,1.100000024,1.600000024,,0.4499999881,4,,,2.799999952,5,0.8000000119,2.5,,4.25,,1.200000048,1,0.25,,,,4.800000191,2.599999905,,1.899999976,,,0.4499999881,0.8999999762,0.150000006,1.200000048
20038824,2003,Herrera,3.089999914,,0.4499999881,0.5,,,1.799999952,,0.25,,10,12,1.200000048,2.349999905,,,,,,0.200000003,4,,,,,0.5,,,1.200000048,,,9,,1.200000048,,,,,0.25,1.25,,,,,,,,1,,,7.5,,1,,0.5,2.700000048,,0.4499999881,16,,,0.6999999881,3,1.600000024,,3.75,5.5,,,0.5,0.5,,,,3.75,1.700000048,,1.200000048,6,,,,,1.799999952
20038825,2003,Herrera,1.399999976,,0.25,0.25,,0.400000006,4.5,,1.25,1.5,5.25,3,0.400000006,1,,,,,0.75,,1.100000024,,0.5,0.5,,0.75,0.349999994,,1.5,1.549999952,4.150000095,1.200000048,,0.5,,,,,,,0.25,,,,,,,,,,1.5,,1.200000048,,0.5500000119,1,,,1,,,1,8.050000191,0.8000000119,,,2,,,,0.25,,1.649999976,,1.5,1.049999952,,0.5,,,0.4499999881,,,
20038827,2003,Herrera,2.849999905,,0.8000000119,0.2800000012,,0.5,16.5,,1.549999952,0.8000000119,2.700000048,,1.200000048,,,,,,1,0.25,4.5,,0.5,,,,,,1.960000038,,5.25,1.950000048,,0.6000000238,,,,,,,,,,,,,,,,,7.5,,,,2,2.099999905,,0.25,,,,1.5,30,0.6999999881,,,4.5,,,1.399999976,,,0.5500000119,,1.75,1.399999976,,1,,,,1.399999976,,
20038828,2003,Herrera,3.400000095,,0.8000000119,0.25,,0.200000003,6.900000095,,0.9300000072,0.8999999762,5.400000095,2,0.400000006,,,,,,0.75,0.3000000119,,,0.5,1,,0.5,0.349999994,,0.8000000119,,,1.25,0.6000000238,,,,,,,1,0.5,,1.049999952,,,,,,,,5.25,,0.8000000119,,,1.600000024,,0.200000003,2,,,2,12.5,0.8000000119,,,,,,,0.5,,0.75,,3,,,1,,,0.4499999881,,0.150000006,
20038829,2003,Herrera,1.399999976,,0.400000006,0.5,,0.400000006,4.900000095,,1.25,,10.5,7.5,0.400000006,,,,,,0.5,,6,,0.5,0.5,0.8999999762,,0.6999999881,,2,1.549999952,,1.860000014,,1.200000048,,,,,,1,,,0.8000000119,,,,,,,,3.5,,0.8000000119,,0.5500000119,2.109999895,,,1,,,1,5.75,0.8000000119,,,,,,,0.25,,,,,1.200000048,,0.5,,,0.150000006,,,
20038830,2003,Herrera,2.599999905,,0.400000006,0.5,,0.5,7.5,,2.170000076,1.600000024,14,7.5,1.200000048,0.400000006,,,,,1.5,0.5,3.299999952,1.470000029,1.5,1.100000024,0.8000000119,1,0.6000000238,3.5,2,2.589999914,,1.830000043,0.5,1.5,,,,,,1.75,0.25,3,,,,,,,,,1.799999952,,1.200000048,,1.100000024,3.299999952,,,2.099999905,,,2,11.5,2.400000095,,,2.849999905,,,0.5,0.25,,3.450000048,,2.25,2.849999905,,1,,,,0.6000000238,,
20038831,2003,Herrera,1.799999952,,0.400000006,0.5,,0.5,11.39999962,0.5,2.5,1.799999952,11.10000038,9,0.400000006,1.5,,,,,0.6499999762,,5.599999905,1.299999952,1,2.599999905,0.8999999762,,0.6999999881,1.450000048,1,1.24000001,,2.599999905,0.5,1.5,,,,,,1,0.5,1.5,,,,,,,,,4.5,,1.200000048,,1.100000024,2.200000048,,0.200000003,1.5,,,2,6.900000095,2.400000095,,,3,,,0.5,0.5,,1.299999952,,1.799999952,1.399999976,,0.5,,,0.3000000119,0.6999999881,0.25,0.5
20038832,2003,Herrera,2.380000114,,0.400000006,0.5,,,6,,1.25,1.600000024,8.5,7.5,0.400000006,,,,,,0.5,0.1000000015,2,,0.5,,,0.75,,,0.9800000191,,,2.480000019,,0.5,,,,,,0.5,0.25,,,,,,,,,,7.5,,0.6000000238,,0.5500000119,2.440000057,,,1.399999976,,,1,5.75,0.8000000119,,,2.650000095,,,,0.25,,1,,,1.399999976,,0.5,,,,,,
20038833,2003,Herrera,2.25,,0.150000006,,,0.25,3.599999905,,0.3000000119,1.049999952,5.400000095,2.799999952,0.25,,,,7.5,,0.1000000015,,0.8999999762,,0.5500000119,0.6000000238,,,0.349999994,,,1.24000001,,1.600000024,,0.6000000238,,,,,,,,2,0.6499999762,,,,,,,,1,,0.8000000119,,0.6000000238,1.429999948,,0.200000003,,,,0.6000000238,4,0.8500000238,,,0.6000000238,,,,0.25,,0.6000000238,,2.450000048,0.7400000095,,0.25,,,0.150000006,0.3000000119,,1
20038834,2003,Herrera,6,,0.5,0.25,,0.25,22.5,0.6999999881,3,4.5,7.650000095,6.449999809,1,,,,,,0.25,,0.75,,1.200000048,1.799999952,,0.75,,1,0.5,5.25,5.5,1,,1.950000048,,,,,,,0.75,,1.600000024,,0.6000000238,,,,,,6,,2,,3,1.75,0.200000003,0.6000000238,,0.3000000119,,2,8,1.700000048,,,0.8000000119,,,,0.5,,0.6499999762,,2.25,,,1.5,,,0.6000000238,0.6000000238,,0.5
20038835,2003,Herrera,2,,0.25,0.150000006,,,9,,0.6200000048,2.25,7.199999809,,0.3000000119,1.5,,,,,,,,,,1,,0.349999994,,,0.400000006,5.25,,,,0.3000000119,,,,,,,,,,,0.3000000119,,,,,,3,,2,,0.349999994,0.6999999881,,,,,,1.5,,,,,,,,,0.5,,1.200000048,,2.099999905,,,0.25,,,0.400000006,,,1
20038836,2003,Herrera,1.399999976,,0.200000003,0.150000006,,0.25,9,,0.6000000238,2.25,3,1,0.25,,,,,,0.200000003,,,,0.5,,,,,,0.8000000119,,,,0.6000000238,0.5,,,,,,,,,0.6499999762,,,,,,,,3.75,,0.400000006,,,,,,,,,1,,,,,0.400000006,,,0.3000000119,0.5,,,,,,,0.25,,,0.150000006,0.349999994,,0.5
20038837,2003,Herrera,1.230000019,,0.3799999952,0.349999994,,,4.199999809,,1.080000043,,12.10000038,,1.059999943,3.200000048,,,,,,,0.9700000286,,1.200000048,0.5299999714,,,,,1.100000024,4.800000191,2.380000114,3.150000095,0.3700000048,0.9800000191,,,,,,0.6000000238,,,0.6299999952,,,,,,,,5.050000191,,,,0.4900000095,0.5899999738,,0.400000006,,,,,5.360000134,1.399999976,,,1.200000048,,,1.200000048,0.1700000018,,,,0.4499999881,0.2700000107,,,1.399999976,,,0.4799999893,,3
20038838,2003,Herrera,2,,,0.400000006,,,7.5,,1.549999952,1.200000048,17.79999924,,0.8000000119,,,,,,,,1.049999952,1.580000043,0.5500000119,1.5,1.440000057,0.75,,,1.100000024,,,5.599999905,0.6499999762,0.6000000238,,,,,,,,,1.649999976,,0.5,,,,,,4.5,,1.200000048,,1.200000048,1.769999981,,,,,,1.5,4.739999771,0.8999999762,1.200000048,,,,,0.6499999762,1,,,,2,0.8000000119,,0.3000000119,,,0.400000006,0.5,,1.200000048
20038839,2003,Herrera,2,,,0.5299999714,,,13.5,,0.6399999857,,3.200000048,2,0.6000000238,1.399999976,,,,,,,,,1.100000024,,,,,,,,,,,1.399999976,,,,,,,,1,0.6499999762,,,,,,,,7.5,,0.8000000119,,1.200000048,1.899999976,,,,,,0.5,1.779999971,2.849999905,,,0.5,,,,0.25,,0.75,,,0.3700000048,,,,,,,,1
20038840,2003,Herrera,1,,0.200000003,,,,6.599999905,,0.6000000238,1.049999952,,,,,,,,,,,0.8999999762,,,,,,,,0.200000003,1.049999952,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0.5,1,0.400000006,,,0.1000000015,,,,0.25,,,,,0.6999999881,,,,,,,,
20038844,2003,Darién,1.799999952,,,,,,5.25,,1.75,6,4.5,,0.5,1.799999952,,,,,0.5,0.150000006,2.400000095,2.099999905,,0.6000000238,,0.5,1.799999952,,1.5,2.400000095,5.5,,,2,,,,,,,,,,,,,,,,,0.6000000238,,,,1.700000048,2.099999905,,,1.399999976,,,1,8.399999619,1.700000048,0.5,,1.200000048,,,,0.3000000119,,2.180000067,,2.200000048,0.8999999762,,,,,0.400000006,,,0.400000006
20038845,2003,Herrera,1.980000019,,0.400000006,0.75,,0.25,7.25,,1.399999976,1.799999952,5.349999905,3.75,0.5,,,,,,0.2399999946,,2,0.75,0.6000000238,0.5,0.6600000262,,1.200000048,,1,1.649999976,,1.220000029,,0.6000000238,,,,,0.5799999833,,,,1.690000057,,,,,,,,0.75,,0.8999999762,,0.9599999785,2.230000019,0.349999994,,2.099999905,0.8999999762,,0.5,3.160000086,,,,,,,0.400000006,0.25,,2.200000048,,1.5,0.3199999928,,,,,,0.5,0.3000000119,
20038846,2003,Herrera,1.279999971,,,,,0.400000006,6,,0.75,1.5,4.949999809,4.050000191,0.5,0.400000006,,,,,0.200000003,,0.8999999762,,0.5,0.8999999762,,0.400000006,0.25,0.5,0.5,0.9900000095,,0.6100000143,,0.6000000238,5,,,,,,0.25,,,,,,,,,,1.950000048,,,,0.5500000119,1.299999952,0.200000003,,,,,1.600000024,4.400000095,0.6999999881,,,1,,,,0.5,,1,,1.25,0.6999999881,,,,,,,,0.349999994
20038847,2003,Herrera,2.200000048,,,1,,1.200000048,,1,1.25,4.5,11.80000019,2.5,1.5,0.5,,,,,0.6000000238,,1.200000048,,2,0.400000006,,,0.5,0.5,2,2.099999905,,0.6100000143,0.8999999762,3,,,,,,,0.5,,0.75,,,,,,,,1.5,,0.8999999762,,3.299999952,1.700000048,0.25,2.5,8.75,0.8000000119,,,7,2.700000048,3,,,0.3000000119,1.950000048,1.5,0.75,,1.799999952,,1,,,2.400000095,,,,2,,
20038848,2003,Herrera,1.200000048,,,,,,4.5,,0.25,0.6000000238,,,0.5,,,,,,0.400000006,,1.5,,0.5,,,,0.25,,0.400000006,0.349999994,,0.25,,1.200000048,,,,,,,,,,,,,,,,,3.200000048,,,,,0.6999999881,,,,,,1,,,,,,,,,0.5,,,,,2.960000038,,,,2,,,,
20038849,2003,Herrera,1.299999952,,,0.25,,0.25,9,,1.799999952,1.200000048,6.5,7.5,1.5,1.5,9.600000381,,,,1.549999952,,1.5,,1.5,1.200000048,1.049999952,,0.349999994,0.75,,0.6999999881,,1.830000043,1.5,3,4.5,,,,,,0.349999994,,,,1.5,,,,,,1.5,,1.799999952,,1.200000048,1.659999967,0.200000003,,4.949999809,0.6000000238,,0.8000000119,8.75,1.399999976,,,0.8000000119,0.8000000119,,0.400000006,0.5,,,,5.349999905,0.3899999857,,1.899999976,,,0.400000006,,,2.400000095
20038851,2003,Herrera,0.75,,,0.5,,0.349999994,10.5,,0.9300000072,2.25,5.949999809,4.25,1.5,,,,,,0.400000006,,1,,1,,,0.6000000238,0.6000000238,,1.200000048,1.049999952,,1,,1.200000048,,,,,,2,,,0.6999999881,,,,,,,,2.400000095,,1,,1.100000024,2.099999905,,0.6000000238,2,,,1,,0.6999999881,,,,,,2,0.75,,,,1,1.049999952,,1.5,,,,,,
